Index,Label,LabelPred,Anomaly,AnomalyScore
1,7,7,0,0.131089
2,2,2,0,0.085399
3,1,1,0,0.148943
4,0,0,0,0.112492
5,4,4,0,0.127495
6,1,1,0,0.150250
7,4,4,0,0.122228
8,9,9,0,0.123619
9,5,5,0,0.090630
10,9,9,0,0.117077
11,0,0,0,0.097847
12,6,6,0,0.102954
13,9,9,0,0.138757
14,0,0,0,0.108758
15,1,1,0,0.148638
16,5,5,0,0.102576
17,9,9,0,0.129610
18,7,7,0,0.116698
19,3,3,1,0.053261
20,4,4,0,0.143744
21,9,9,0,0.131049
22,6,6,0,0.131666
23,6,6,0,0.113189
24,5,5,0,0.127295
25,4,4,0,0.142469
26,0,0,1,0.061186
27,7,7,0,0.124933
28,4,4,0,0.131729
29,0,0,0,0.114211
30,1,1,0,0.146033
31,3,3,0,0.128742
32,1,1,0,0.148748
33,3,3,0,0.112171
34,4,0,0,0.089415
35,7,7,0,0.121490
36,2,2,0,0.086165
37,7,7,0,0.117558
38,1,1,0,0.149662
39,2,2,0,0.125878
40,1,1,0,0.147453
41,1,1,0,0.152083
42,7,7,0,0.140398
43,4,4,0,0.132629
44,2,2,0,0.122601
45,3,3,0,0.137371
46,5,5,0,0.132822
47,1,1,0,0.136111
48,2,2,0,0.123712
49,4,4,0,0.108409
50,4,4,0,0.112665
51,6,6,0,0.132168
52,3,3,0,0.083351
53,5,5,0,0.119432
54,5,5,0,0.121734
55,6,6,1,0.051939
56,0,0,0,0.122673
57,4,4,0,0.107710
58,1,1,0,0.150395
59,9,9,0,0.123423
60,5,5,0,0.134453
61,7,7,0,0.084890
62,8,8,0,0.101292
63,9,9,0,0.144910
64,3,3,0,0.128310
65,7,7,0,0.095178
66,4,4,0,0.148899
67,6,6,0,0.113344
68,4,4,0,0.110917
69,3,3,0,0.121312
70,0,0,0,0.077566
71,7,7,0,0.110659
72,0,0,0,0.075414
73,2,2,0,0.093615
74,9,8,0,0.119708
75,1,1,0,0.147904
76,7,7,0,0.126984
77,3,3,0,0.136648
78,2,2,0,0.115182
79,9,9,0,0.138820
80,7,7,0,0.095973
81,7,7,0,0.126301
82,6,6,0,0.128443
83,2,2,0,0.096906
84,7,7,0,0.130912
85,8,8,0,0.111497
86,4,4,0,0.101407
87,7,7,0,0.133600
88,3,3,0,0.107547
89,6,6,0,0.104666
90,1,1,0,0.147113
91,3,3,0,0.122411
92,6,6,0,0.129826
93,9,9,0,0.140476
94,3,3,0,0.123184
95,1,1,0,0.137581
96,4,4,0,0.102053
97,1,1,0,0.145676
98,7,7,0,0.116881
99,6,6,0,0.118548
100,9,9,0,0.112858
101,6,6,0,0.118983
102,0,0,0,0.107592
103,5,5,0,0.099743
104,4,4,0,0.105015
105,9,9,0,0.109280
106,9,9,0,0.130828
107,2,2,0,0.088949
108,1,1,0,0.142594
109,9,9,0,0.135759
110,4,4,0,0.137446
111,8,8,0,0.123373
112,7,7,0,0.145824
113,3,3,0,0.139381
114,9,9,0,0.131704
115,7,7,0,0.143154
116,4,4,0,0.144026
117,4,4,0,0.146730
118,4,4,0,0.100674
119,9,9,0,0.144438
120,2,2,0,0.120797
121,5,5,0,0.105166
122,4,4,0,0.128980
123,7,7,0,0.138845
124,6,6,0,0.125992
125,7,7,0,0.103921
126,9,9,0,0.133465
127,0,0,0,0.073295
128,5,5,0,0.121026
129,8,8,0,0.106288
130,5,5,0,0.129147
131,6,6,0,0.117986
132,6,6,0,0.109888
133,5,5,0,0.105375
134,7,7,0,0.110320
135,8,8,0,0.126331
136,1,1,0,0.147306
137,0,0,0,0.125549
138,1,1,0,0.142682
139,6,6,0,0.110487
140,4,4,0,0.125993
141,6,6,0,0.136369
142,7,7,0,0.110015
143,3,3,0,0.109849
144,1,1,0,0.150297
145,7,7,0,0.132632
146,1,1,0,0.149110
147,8,8,0,0.125959
148,2,2,0,0.073720
149,0,0,0,0.126693
150,2,8,0,0.122977
151,9,9,0,0.132428
152,9,9,0,0.082014
153,5,5,0,0.118350
154,5,5,0,0.134653
155,1,1,0,0.152980
156,5,5,0,0.113331
157,6,6,0,0.113875
158,0,0,0,0.129678
159,3,3,0,0.106898
160,4,4,0,0.144214
161,4,4,0,0.126448
162,6,6,0,0.110634
163,5,5,0,0.104395
164,4,4,0,0.095927
165,6,6,0,0.121122
166,5,5,0,0.106304
167,4,4,0,0.132237
168,5,5,0,0.122288
169,1,1,0,0.149673
170,4,4,0,0.140519
171,4,4,0,0.141219
172,7,7,0,0.109883
173,2,2,0,0.092818
174,3,3,0,0.115739
175,2,2,0,0.129356
176,7,7,0,0.150634
177,1,1,0,0.152091
178,8,8,0,0.133798
179,1,1,0,0.151093
180,8,8,0,0.121295
181,1,1,0,0.151707
182,8,8,0,0.120164
183,5,5,0,0.139791
184,0,0,0,0.065623
185,8,8,0,0.130371
186,9,9,0,0.137010
187,2,2,0,0.103887
188,5,5,0,0.118775
189,0,0,0,0.085790
190,1,1,0,0.148783
191,1,1,0,0.144341
192,1,1,0,0.144845
193,0,0,0,0.092624
194,9,9,0,0.126720
195,0,0,0,0.113378
196,3,3,0,0.130661
197,1,1,0,0.145297
198,6,6,0,0.122717
199,4,4,0,0.141610
200,2,2,0,0.117514
201,3,3,0,0.076013
202,6,6,0,0.080148
203,1,1,0,0.148203
204,1,1,0,0.151561
205,1,1,0,0.150295
206,3,3,0,0.134818
207,9,9,0,0.126434
208,5,5,0,0.107680
209,2,2,0,0.113937
210,9,9,0,0.104494
211,4,4,0,0.117236
212,5,5,0,0.128853
213,9,9,0,0.089484
214,3,3,0,0.144104
215,9,9,0,0.129628
216,0,0,0,0.123464
217,3,3,0,0.127891
218,6,6,0,0.113202
219,5,5,0,0.133691
220,5,5,0,0.112227
221,7,7,0,0.123668
222,2,2,0,0.115571
223,2,2,0,0.072334
224,7,7,0,0.128092
225,1,1,0,0.150649
226,2,2,0,0.091224
227,8,8,0,0.116605
228,4,4,0,0.146542
229,1,1,0,0.149059
230,7,7,0,0.147023
231,3,3,0,0.130098
232,3,3,0,0.139590
233,8,8,0,0.123880
234,8,8,0,0.118897
235,7,7,0,0.145891
236,9,9,0,0.128396
237,2,2,0,0.108794
238,2,2,0,0.122853
239,4,4,0,0.129447
240,1,1,0,0.151472
241,5,5,0,0.128967
242,9,8,0,0.119056
243,8,8,0,0.096844
244,7,7,0,0.122106
245,2,2,0,0.135901
246,3,5,0,0.112191
247,0,0,1,0.047316
248,4,2,0,0.120931
249,4,4,0,0.106457
250,2,2,0,0.136214
251,4,4,0,0.121480
252,1,1,0,0.149017
253,9,9,0,0.117793
254,5,5,0,0.131620
255,7,7,0,0.136223
256,7,7,0,0.143150
257,2,2,0,0.132294
258,8,8,0,0.134991
259,2,2,0,0.100308
260,6,0,0,0.090708
261,8,8,0,0.106279
262,5,5,0,0.129199
263,7,7,0,0.111415
264,7,7,0,0.138149
265,9,9,0,0.129461
266,1,1,0,0.147604
267,8,8,0,0.118028
268,1,1,0,0.150009
269,8,8,0,0.104684
270,0,0,0,0.093474
271,3,3,0,0.102040
272,0,0,0,0.115187
273,1,1,0,0.150910
274,9,9,0,0.130255
275,9,9,0,0.098451
276,4,4,0,0.124909
277,1,1,0,0.147795
278,8,8,0,0.119719
279,2,2,0,0.108311
280,1,1,0,0.151468
281,2,2,0,0.119640
282,9,9,0,0.134264
283,7,7,0,0.144933
284,5,5,0,0.126187
285,9,9,0,0.123495
286,2,2,0,0.095820
287,6,6,0,0.128983
288,4,4,1,0.059785
289,1,1,0,0.144221
290,5,5,0,0.127618
291,8,8,0,0.112198
292,2,2,0,0.096972
293,9,9,0,0.115254
294,2,2,0,0.112351
295,0,0,0,0.120897
296,4,4,0,0.122415
297,0,0,0,0.064392
298,0,0,0,0.080204
299,2,2,0,0.106978
300,8,8,0,0.123633
301,4,4,0,0.136280
302,7,7,0,0.117647
303,1,1,0,0.150851
304,2,2,0,0.125086
305,4,4,0,0.136812
306,0,0,1,0.048294
307,2,2,0,0.127488
308,7,7,0,0.144162
309,4,4,0,0.126880
310,3,3,0,0.122464
311,3,3,0,0.136329
312,0,0,0,0.061708
313,0,0,0,0.114827
314,3,5,0,0.098672
315,1,1,0,0.147703
316,9,9,0,0.122702
